product_id,description,base_price,category,supplier_id
23486,ANTIQUE HEART SHELF UNIT,16.65,Home & Garden,SUP_283
21470,FLOWER VINE RAFFIA FOOD COVER,3.75,Toys,SUP_308
23410,CURIO CABINET LINEN AND LACE ,8.15,Logistics,SUP_846
21407,BROWN CHECK CAT DOORSTOP ,4.25,Toys,SUP_199
47481,50CM METAL STRING WITH  7 CLIPS,0.85,Groceries,SUP_566
23567,EGG CUP HENRIETTA HEN PINK,1.25,Toys,SUP_981
16202E,BLACK PHOTO ALBUM ,5.55,Toys,SUP_431
21619,4 VANILLA BOTANICAL CANDLES,3.75,Toys,SUP_632
22961,JAM MAKING SET PRINTED,1.45,Groceries,SUP_166
22757,LARGE RED BABUSHKA NOTEBOOK ,1.25,Toys,SUP_486
84873A,FUNKY FLOWER PICNIC BAG FOR 4,16.95,Logistics,SUP_981
85230E,STRAWBRY SCENTED VOTIVE CANDLE,0.29,Groceries,SUP_739
79323W,WHITE CHERRY LIGHTS,6.75,Apparel,SUP_456
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,3.75,Apparel,SUP_748
90200C,BLUE SWEETHEART BRACELET,4.25,Toys,SUP_309
23337,EGG FRYING PAN MINT ,2.08,Electronics,SUP_457
85049G,CHOCOLATE BOX RIBBONS ,1.25,Logistics,SUP_783
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,4.65,Toys,SUP_581
20619,TROPICAL PASSPORT COVER ,0.75,Home & Garden,SUP_479
22481,BLACK TEA TOWEL CLASSIC DESIGN,1.25,Home & Garden,SUP_551
22686,FRENCH BLUE METAL DOOR SIGN No,1.25,Apparel,SUP_271
90214O,"LETTER ""O"" BLING KEY RING",0.29,Apparel,SUP_354
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,3.75,Groceries,SUP_452
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,1.25,Apparel,SUP_228
84279B,CHERRY BLOSSOM DECORATIVE FLASK,3.75,Home & Garden,SUP_246
23580,SNACK TRAY HAPPY FOREST  ,1.95,Electronics,SUP_955
22144,CHRISTMAS CRAFT LITTLE FRIENDS,2.1,Groceries,SUP_524
23169,CLASSIC GLASS SWEET JAR,4.15,Logistics,SUP_234
22808,SET OF 6 T-LIGHTS EASTER CHICKS,2.95,Logistics,SUP_914
21392,RED POLKADOT PUDDING BOWL,2.1,Electronics,SUP_914
