store_id,store_name,city
ST_001,Retail Hub Tinsukia,Nanded
ST_002,Retail Hub Navi Mumbai,Tirunelveli
ST_003,Retail Hub Uluberia,Satara
ST_004,Retail Hub Navi Mumbai,Sirsa
ST_005,Retail Hub Singrauli,Bhimavaram
ST_006,Retail Hub Sangli-Miraj & Kupwad,Aurangabad
ST_007,Retail Hub Kavali,Jamalpur
ST_008,Retail Hub Jalgaon,Barasat
ST_009,Retail Hub Hindupur,Kavali
ST_010,Retail Hub Bijapur,Kharagpur
ST_011,Retail Hub Sambalpur,Bhiwani
ST_012,Retail Hub Dibrugarh,Tadepalligudem
ST_013,Retail Hub Phusro,Motihari
ST_014,Retail Hub Maheshtala,Ambarnath
ST_015,Retail Hub Sagar,Ongole
ST_016,Retail Hub Jhansi,Morena
ST_017,Retail Hub Guntur,Agra
ST_018,Retail Hub Chinsurah,Hubli–Dharwad
ST_019,Retail Hub Navi Mumbai,Kamarhati
ST_020,Retail Hub Miryalaguda,Pudukkottai
ST_021,Retail Hub Thane,Silchar
ST_022,Retail Hub Narasaraopet,Ulhasnagar
ST_023,Retail Hub Haldia,Nangloi Jat
ST_024,Retail Hub Nandyal,Motihari
ST_025,Retail Hub Madhyamgram,Rajkot
ST_026,Retail Hub Guna,Panipat
ST_027,Retail Hub Phagwara,Ichalkaranji
ST_028,Retail Hub Ambattur,Motihari
ST_029,Retail Hub Ahmednagar,Mumbai
ST_030,Retail Hub Tumkur,Tirunelveli
ST_031,Retail Hub Rajkot,Jorhat
ST_032,Retail Hub Bangalore,Yamunanagar
ST_033,Retail Hub Aligarh,Nizamabad
ST_034,Retail Hub Kumbakonam,Shimoga
ST_035,Retail Hub Thane,Bhiwani
ST_036,Retail Hub Begusarai,Rohtak
ST_037,Retail Hub Siliguri,Bettiah
ST_038,Retail Hub Karimnagar,Surat
ST_039,Retail Hub Unnao,Raebareli
ST_040,Retail Hub Motihari,Pudukkottai
ST_041,Retail Hub Kottayam,Gopalpur
ST_042,Retail Hub Akola,Ghaziabad
ST_043,Retail Hub Ongole,Mangalore
ST_044,Retail Hub Tiruchirappalli,Vijayawada
ST_045,Retail Hub Kanpur,Sagar
ST_046,Retail Hub Giridih,Bhind
ST_047,Retail Hub Siwan,Jehanabad
ST_048,Retail Hub Rourkela,Jamalpur
ST_049,Retail Hub Gurgaon,Kozhikode
ST_050,Retail Hub Shimoga,Agra
ST_051,Retail Hub Aizawl,Chandrapur
ST_052,Retail Hub Kharagpur,Sultan Pur Majra
ST_053,Retail Hub Muzaffarnagar,Faridabad
ST_054,Retail Hub Ujjain,Faridabad
ST_055,Retail Hub Dharmavaram,Machilipatnam
