shipment_id,transaction_id,status,delivery_time_days,shipment_date
SHP_0000001,577022,Delivered,11,2025-04-12T04:52:48.413043
SHP_0000002,566959,Shipped,8,2025-10-23T01:05:49.242399
SHP_0000003,567197,Delivered,11,2025-03-13T17:00:13.806290
SHP_0000004,560251,Processing,5,2025-09-13T15:10:21.169584
SHP_0000005,549756,Delivered,2,2025-06-29T08:03:05.077097
SHP_0000006,555940,Returned,5,2025-08-07T20:06:36.892378
SHP_0000007,567611,Shipped,1,2025-04-20T21:44:09.516049
SHP_0000008,568245,Shipped,4,2025-10-19T09:30:20.770548
SHP_0000009,576778,Delivered,1,2025-06-20T06:36:13.209636
SHP_0000010,565610,Processing,5,2025-06-04T01:16:09.648527
SHP_0000011,578853,Processing,8,2025-10-25T10:40:45.045060
SHP_0000012,561689,Delivered,12,2025-11-26T20:59:52.233587
SHP_0000013,580973,Shipped,8,2026-01-16T02:04:48.807431
SHP_0000014,572333,Returned,3,2025-09-24T22:01:46.163846
SHP_0000015,572339,Returned,9,2026-01-28T02:05:31.159421
SHP_0000016,547946,Processing,11,2025-06-20T02:47:38.072852
SHP_0000017,573872,Returned,4,2025-04-02T21:34:29.950296
SHP_0000018,556318,Returned,4,2025-05-22T16:19:16.141510
SHP_0000019,559980,Delivered,7,2025-12-20T22:44:19.813257
SHP_0000020,578335,Shipped,5,2026-01-10T11:45:59.945096
SHP_0000021,559462,Shipped,6,2025-09-20T08:21:54.420170
SHP_0000022,554371,Delivered,10,2025-06-17T12:47:27.275581
SHP_0000023,559456,Delivered,7,2025-07-11T00:43:30.307595
SHP_0000024,563428,Processing,8,2025-10-22T02:41:56.663625
SHP_0000025,556184,Delivered,4,2026-02-11T08:15:16.870684
SHP_0000026,578341,Shipped,1,2025-11-23T20:00:27.062664
SHP_0000027,547794,Shipped,6,2025-02-13T14:21:55.551341
SHP_0000028,547428,Delivered,1,2025-12-16T08:42:39.648507
SHP_0000029,551334,Shipped,10,2025-12-16T01:29:03.490806
SHP_0000030,550054,Shipped,6,2025-05-29T16:30:58.740765
SHP_0000031,553722,Shipped,14,2025-05-12T05:10:24.177132
SHP_0000032,538633,Processing,5,2025-09-29T23:47:32.469212
SHP_0000033,538886,Shipped,2,2025-09-26T15:56:23.036408
SHP_0000034,550965,Shipped,14,2025-10-10T22:34:29.263224
SHP_0000035,536805,Shipped,8,2025-07-12T00:00:13.703609
SHP_0000036,552543,Delivered,11,2025-11-13T20:18:49.816939
SHP_0000037,580062,Processing,5,2025-03-23T16:20:13.742390
SHP_0000038,557128,Shipped,13,2025-03-03T15:09:53.045278
SHP_0000039,580985,Delivered,1,2026-01-19T04:34:58.323746
SHP_0000040,544129,Shipped,12,2025-02-13T09:49:55.486590
